trialname,simulation_number,max_simulation_time,outcome,endpoint_x,endpoint_y,bounces,simulation_time
contain_sc1_var_l1_complex_l3_RIGHT,158,60,REDGOAL,450.0411712467321,338.3193119793599,60,58.19999999999883
contain_sc1_var_l1_complex_l3_RIGHT,159,60,REDGOAL,452.18872139865124,351.2771231550121,3,3.099999999999997
contain_sc1_var_l1_complex_l3_RIGHT,160,60,REDGOAL,455.4541160670398,362.22416552438096,16,15.300000000000082
contain_sc1_var_l1_complex_l3_RIGHT,161,60,TIMEUP,364.83925681832346,251.95169628756722,64,60.049999999998725
contain_sc1_var_l1_complex_l3_RIGHT,162,60,REDGOAL,455.8037607701087,345.36198394026616,23,20.00000000000015
contain_sc1_var_l1_complex_l3_RIGHT,163,60,REDGOAL,453.064665108558,294.5714512174658,3,2.9999999999999973
contain_sc1_var_l1_complex_l3_RIGHT,164,60,REDGOAL,450.362376391878,264.06930930481707,8,8.899999999999991
contain_sc1_var_l1_complex_l3_RIGHT,165,60,REDGOAL,450.2392970630959,285.4638884886346,3,2.9499999999999975
contain_sc1_var_l1_complex_l3_RIGHT,166,60,REDGOAL,455.65342573902655,330.0310918935279,12,9.850000000000005
contain_sc1_var_l1_complex_l3_RIGHT,167,60,REDGOAL,451.3959549180301,346.8075335573077,52,52.24999999999917
contain_sc1_var_l1_complex_l3_RIGHT,168,60,REDGOAL,451.1732191945361,344.7265603988438,3,2.7499999999999982
contain_sc1_var_l1_complex_l3_RIGHT,169,60,REDGOAL,451.7572406902952,343.28517834126734,6,6.399999999999985
contain_sc1_var_l1_complex_l3_RIGHT,170,60,REDGOAL,455.79078661200015,275.9556225617116,5,3.699999999999995
contain_sc1_var_l1_complex_l3_RIGHT,171,60,REDGOAL,461.1595004578168,307.26193915588584,13,9.700000000000003
contain_sc1_var_l1_complex_l3_RIGHT,172,60,REDGOAL,452.4774021602116,243.01595789026644,2,2.8999999999999977
contain_sc1_var_l1_complex_l3_RIGHT,173,60,REDGOAL,456.75778080099104,349.3789014554601,1,1.4500000000000006
contain_sc1_var_l1_complex_l3_RIGHT,174,60,REDGOAL,451.32076438843484,356.91670625354476,11,7.299999999999982
contain_sc1_var_l1_complex_l3_RIGHT,175,60,REDGOAL,452.6069479923709,296.6427120842001,3,3.049999999999997
contain_sc1_var_l1_complex_l3_RIGHT,176,60,REDGOAL,456.2887627374025,360.7848653670481,34,32.65000000000028
contain_sc1_var_l1_complex_l3_RIGHT,177,60,REDGOAL,451.4003461761763,341.58043097032544,2,1.6500000000000008
contain_sc1_var_l1_complex_l3_RIGHT,178,60,REDGOAL,456.2362288361954,300.3453573188491,2,2.2
contain_sc1_var_l1_complex_l3_RIGHT,179,60,REDGOAL,453.7099677508559,311.8552962117484,19,17.700000000000117
contain_sc1_var_l1_complex_l3_RIGHT,180,60,REDGOAL,460.767883653015,255.34060202774293,20,21.800000000000175
contain_sc1_var_l1_complex_l3_RIGHT,181,60,REDGOAL,455.8198448316526,346.8166445420196,26,20.00000000000015
contain_sc1_var_l1_complex_l3_RIGHT,182,60,REDGOAL,452.0388269387227,267.0544180441926,22,23.050000000000193
contain_sc1_var_l1_complex_l3_RIGHT,183,60,REDGOAL,451.06462778935224,243.67635759485242,12,7.79999999999998
contain_sc1_var_l1_complex_l3_RIGHT,184,60,REDGOAL,456.920999203891,246.96631003584477,5,3.7499999999999947
contain_sc1_var_l1_complex_l3_RIGHT,185,60,REDGOAL,452.5138265984491,349.65117756758343,21,16.300000000000097
contain_sc1_var_l1_complex_l3_RIGHT,186,60,REDGOAL,450.3245884109993,299.8371737086417,6,4.99999999999999
contain_sc1_var_l1_complex_l3_RIGHT,187,60,REDGOAL,456.14971931631203,293.7709043569402,1,1.4000000000000006
contain_sc1_var_l1_complex_l3_RIGHT,188,60,REDGOAL,458.10346921793746,234.55374109878704,44,36.650000000000055
contain_sc1_var_l1_complex_l3_RIGHT,189,60,REDGOAL,456.6859665075533,256.73331974325606,23,21.600000000000172
contain_sc1_var_l1_complex_l3_RIGHT,190,60,REDGOAL,459.69424000172836,248.81954383191643,3,2.849999999999998
